d_bathrobes,d_bathtub,d_bidet,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_dining_table,d_dishwasher,d_elevator,d_fire_extinguisher,d_first_aid_kit,d_hair_dryer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_housekeeping,d_indoor_fireplace,d_iron,d_keypad,d_pets_allowed,d_pool,d_self_checkin,d_smart_lock,d_smoke_alarm,d_smoking_allowed,d_wifi,d_tv,d_air_conditioning,d_washer,d_sound_system,d_stove_or_oven,d_dryer,d_workspace,d_refrigerator,d_free_parking,d_kid_friendly,d_heating,d_bedroom_essentials,d_kitchenware,d_entertainment,d_clothing_storage,d_toiletries,d_fitness_centre,d_garden_backyard_balcony_agg,d_kitchen,d_safe_box,d_essentials,f_property_type,f_neighbourhood_cleansed,euro_price_day,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_bedrooms,n_minimum_nights,n_beds,n_reviews_per_month,price,id,neighbourhood_cleansed,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_bedrooms,ln_number_of_reviews,f_bedroom,f_bathroom,f_number_of_reviews,f_minimum_nights,flag_review_scores_rating,flag_reviews_per_month,flag_n_number_of_reviews
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,Entire condominium,Brunnenstr. Süd,79,2,1,93,93,1,3,1,1.35,79,85560,Brunnenstr. Süd,Entire condominium,4.3694478524670215,4,0.6931471805599453,0.4804530139182014,0,0,4.543294782270004,1,2,3,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Entire apartment,südliche Luisenstadt,76,4,1,92,45,2,4,4,0.38,76,86514,südliche Luisenstadt,Entire apartment,4.330733340286331,16,1.3862943611198906,1.9218120556728056,1.3862943611198906,0.6931471805599453,3.828641396489095,2,2,2,3,0,0,0
0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,Entire apartment,Prenzlauer Berg Südwest,123,4,1,97,61,1,4,2,0.52,123,89102,Prenzlauer Berg Südwest,Entire apartment,4.812184355372417,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,0,4.127134385045092,1,2,3,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Entire apartment,Reuterstraße,60,3,1,99,44,1,2,2,0.38,60,91290,Reuterstraße,Entire apartment,4.0943445622221,9,1.0986122886681098,1.206948960812582,0.6931471805599453,0,3.8066624897703196,1,2,2,2,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,Entire apartment,Halensee,31,2,1,95,32,1,70,2,0.28,31,103644,Halensee,Entire apartment,3.4339872044851463,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,0,3.4965075614664802,1,2,2,3,0,0,0
0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,Entire apartment,Prenzlauer Berg Süd,77,3,1,94,96,1,60,2,0.82,77,106331,Prenzlauer Berg Süd,Entire apartment,4.343805421853684,9,1.0986122886681098,1.206948960812582,0.6931471805599453,0,4.574710978503383,1,2,3,3,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,Entire condominium,Frankfurter Allee Nord,89,2,1,96,86,1,4,1,0.75,89,109658,Frankfurter Allee Nord,Entire condominium,4.48863636973214,4,0.6931471805599453,0.4804530139182014,0,0,4.465908118654584,1,2,3,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Entire apartment,Alexanderplatz,75,2,1,91,114,1,5,1,1.02,75,111579,Alexanderplatz,Entire apartment,4.31748811353631,4,0.6931471805599453,0.4804530139182014,0,0,4.74493212836325,1,2,3,3,0,0,0
0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,Entire apartment,Schöneberg-Süd,136,6,1,98,92,3,3,6,0.94,136,114763,Schöneberg-Süd,Entire apartment,4.912654885736052,36,1.791759469228055,3.210401995568401,1.791759469228055,1.0986122886681098,4.532599493153256,3,2,3,3,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Entire apartment,Halensee,86,2,1,97,0,1,3,1,0.33,86,116057,Halensee,Entire apartment,4.454347296253507,4,0.6931471805599453,0.4804530139182014,0,0,0,1,2,1,3,1,1,1
